animal_id,group_id,phase,overall_det,first_half_det,second_half_det
F8.05,aged,test,0.6112759643916914,0.23076923076923078,0.6448780487804878
F8.06,aged,test,0.4074074074074074,0.5416666666666666,0.38534278959810875
F8.08,aged,test,0.4828897338403042,0.45255474452554745,0.4551341350601295
F8.10,aged,test,0.4578610152784623,0.19230769230769232,0.4281729428172943
F8.12,aged,test,0.5202205882352942,0.44285714285714284,0.4461041582559548
F8.14,aged,test,0.5622161671207992,0.6233766233766234,0.5160796324655437
F8.16,aged,test,0.42847548690396237,0.32142857142857145,0.40300230946882215
F8.18,aged,test,0.465244322092223,0.13580246913580246,0.34350282485875705
F8.20,aged,test,0.412,0.5365853658536586,0.2862957937584803
B01,young,sample,0.5275819162173372,0.45938375350140054,0.4966949952785647
B02,young,sample,0.598314606741573,0.48333333333333334,0.5509259259259259
B03,young,sample,0.4801999231064975,0.5097276264591439,0.47339158061953934
B04,young,sample,0.6269264321023553,0.5274261603375527,0.5388496468213926
B05,young,sample,0.5079691516709511,0.5428571428571428,0.4425287356321839
B06,young,sample,0.5944444444444444,0.6380368098159509,0.5873702422145328
B07,young,sample,0.4411663807890223,0.6838487972508591,0.3962136578769439
B08,young,sample,0.5196872382016197,0.615727002967359,0.5076923076923077
B09,young,sample,0.5918119173084718,0.453781512605042,0.5969677826910929
B10,young,sample,0.42216854535695114,0.24742268041237114,0.2855324565125159
B11,young,sample,0.4945515507124895,0.6915584415584416,0.3659322944653412
B12,young,sample,0.5494584837545127,0.7129186602870813,0.4775429326287979
B13,young,sample,0.4627642276422764,0.4592274678111588,0.4343675417661098
B14,young,sample,0.4651647893199833,0.3583061889250814,0.5039232781168265
B15,young,sample,0.4059549745824256,0.26838235294117646,0.46092184368737477
B16,young,sample,0.5289279636982417,0.387434554973822,0.5142011834319526
B18,young,sample,0.6644450883801797,0.4672897196261682,0.6659707724425887
B20,young,sample,0.46077825818406426,0.6094674556213018,0.36105476673427994
B22,young,sample,0.447520184544406,0.31016042780748665,0.40132513014671084
B24,young,sample,0.5716603569497025,0.6666666666666666,0.47305863708399365
B6.01,young,sample,0.46335341365461846,0.37037037037037035,0.4785958904109589
B6.02,young,sample,0.55007473841554555,0.3384615384615385,0.6507246376811594
B6.03,young,sample,0.49527806925498424,0.6209677419354839,0.4354545454545454
B6.04,young,sample,0.4435946462715105,0.4264705882352941,0.47295208655332305
B6.05,young,sample,0.45639771801140994,0.2814070351758794,0.49002394253790904
B6.06,young,sample,0.530091478093404,0.3813559322033898,0.5541158536585366
B6.07,young,sample,0.48214892893573613,0.49411764705882355,0.4892324682495859
B6.08,young,sample,0.561667631731326,0.7127659574468085,0.4389782403027436
B6.09,young,sample,0.44711538461538464,0.28888888888888886,0.4223069590085796
B6.10,young,sample,0.5768518518518518,0.8554913294797688,0.5212669683257919
B6.11,young,sample,0.5283256399496433,0.3643724696356275,0.565523306948109
B6.12,young,sample,0.5755903097209445,0.40625,0.5811764705882353
